Region,Year,TotalTourists,ForeignTourists,HousesWithInternet%,CompaniesWithWebSites%,AmountOfPeopleWithHighEducation,PeopleWithHighEducationWithoutJob,AmountOfPeopleWithSecondaryEducation,PeopleWithSecondaryEducationWithoutJob,AmountOfPeopleWithoutEducation,PeopleWithoutEducationWithoutJob,AmountOfMales,AmountOfMalesWithoutJob,AmountOfFemales,AmountOfFemalesWithoutJob,AmountOfPeopleInRegion,AmountOfPeopleInRegionWithoutJob,AmountOf_15-24_PeopleInRegion,AmountOf_15-24_PeopleInRegionWithoutJob,AmountOf_15-64_PeopleInRegion,AmountOf_15-64_PeopleInRegionWithoutJob,AmountOf_25-34_PeopleInRegion,AmountOf_25-34_PeopleInRegionWithoutJob,AmountOf_35-44_PeopleInRegion,AmountOf_35-44_PeopleInRegionWithoutJob,AmountOf_45-54_PeopleInRegion,AmountOf_45-54_PeopleInRegionWithoutJob,AmountOf_55-64_PeopleInRegion,AmountOf_55-64_PeopleInRegionWithoutJob,AmountOf_65+_PeopleInRegion
РЕПУБЛИКА СРБИЈА,2010,2000597,682681,27.6,67.5,847200.0,87500.0,3226100.0,562400.0,2183100.0,183000.0,3016300.0,450600.0,3239600.0,382800.0,6256400.0,833400.0,902000.0,150800.0,5105000.0,833400.0,1018500.0,265200.0,952900.0,179400.0,1040700.0,161700.0,1190900.0,76300.0,1150600.0
Београдски регион,2010,618454,395408,41.6,80.6,375300.0,-7500.0,754100.0,65200.0,293100.00000000023,14400.0,665100.0,45200.0,757000.0,27200.0,1422100.0,72500.0,195000.0,26000.0,1181600.0,73000.0,269600.0,18800.0,218100.0,13500.0,223000.0,10400.0,275900.0,3900.0,240900.0
Регион Војводине,2010,281842,102457,27.8,61.2,261700.0,39000.0,849500.0,187600.0,572000.0,70600.0,810600.0,174400.0,872700.0,123300.0,1682800.0,297700.0,249400.0,48400.0,1392800.0,296900.0,281600.0,97000.0,253800.0,53900.0,294500.0,61000.0,313500.0,36200.0,290000.0
Регион Шумадије и Западне Србије,2010,747748,106663,21.3,58.9,147100.0,35000.0,890600.0,144500.0,733900.0,45700.0,865400.0,103700.0,906300.0,122000.0,1771600.0,225700.0,262300.0,27600.0,1439100.0,225200.0,269600.0,53900.0,270300.0,72100.0,304500.0,53100.0,332400.0,18400.0,333000.0
Регион Јужне и Источне Србије,2010,352553,78153,20.8,57.3,63000.0,21000.0,732300.0,165100.0,584100.0,52300.0,675300.0,127700.0,703700.0,110700.0,1379000.0,238000.0,195700.0,48300.0,1092300.0,238700.0,197700.0,96000.0,210700.0,39000.0,219100.0,36700.0,269100.0,18700.0,287200.0
РЕПУБЛИКА СРБИЈА,2011,2068610,764167,31.0,67.6,895300.0,93200.0,3205000.0,521100.0,2116800.0,162400.0,2997500.0,419700.0,3219200.0,357400.0,6217100.0,777100.0,877600.0,140300.0,5034600.0,776900.0,1003500.0,248500.0,958000.0,168200.0,1024700.0,148300.0,1170800.0,71600.0,1181900.0
Београдски регион,2011,619124,440347,43.4,76.8,384500.0,2600.0,755000.0,69400.0,285100.0000000002,14000.0,665500.0,50600.0,758800.0,35600.0,1424300.0,86300.0,190100.0,24500.0,1173100.0,86600.0,266300.0,25200.0,224700.0,17100.0,221800.0,13200.0,270200.0,6300.0,251500.0
Регион Војводине,2011,289398,119997,28.8,64.8,260000.0,35600.0,852500.0,167300.0,558900.0,62100.0,805200.0,155300.0,866300.0,110100.0,1671100.0,265400.0,242000.0,43800.0,1372400.0,264700.0,276900.0,86200.0,255600.0,49000.0,289100.0,53600.0,308800.0,31800.0,298700.0
Регион Шумадије и Западне Србије,2011,798039,127274,26.7,59.8,162500.0,33000.0,882500.0,136500.0,711000.0,41100.0,858000.0,99100.0,898100.0,111900.0,1756000.0,211000.0,254900.0,28400.0,1416100.0,210600.0,265000.0,52800.0,268900.0,64500.0,297800.0,47500.0,329500.0,17300.0,340300.0
Регион Јужне и Источне Србије,2011,362049,76549,26.4,57.8,88200.0,22000.0,715300.0,147900.0,561800.0,45200.0,668900.0,115000.0,696100.0,100100.0,1365000.0,214800.0,190900.0,43200.0,1073600.0,215300.0,195300.0,84700.0,208800.0,36900.0,216300.0,33600.0,262300.0,16900.0,291800.0
