idindikator;IDTer;nTer;IDTuristi;nTuristi;IDVrPod;nVrPod;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2201IND01;RS;РЕПУБЛИКА СРБИЈА;0;Укупно;1;број;00;2000;2169225;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS;РЕПУБЛИКА СРБИЈА;0;Укупно;2;индекси (2010 = 100);00;2000;108.4;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS;РЕПУБЛИКА СРБИЈА;1;Домаћи;1;број;00;2000;2003549;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS;РЕПУБЛИКА СРБИЈА;1;Домаћи;2;индекси (2010 = 100);00;2000;152;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS;РЕПУБЛИКА СРБИЈА;2;Страни;1;број;00;2000;165676;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS;РЕПУБЛИКА СРБИЈА;2;Страни;2;индекси (2010 = 100);00;2000;24.3;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS1;СРБИЈА – СЕВЕР;0;Укупно;1;број;00;2000;1076993;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS1;СРБИЈА – СЕВЕР;0;Укупно;2;индекси (2010 = 100);00;2000;119.6;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS1;СРБИЈА – СЕВЕР;1;Домаћи;1;број;00;2000;958714;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS1;СРБИЈА – СЕВЕР;1;Домаћи;2;индекси (2010 = 100);00;2000;238.2;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS1;СРБИЈА – СЕВЕР;2;Страни;1;број;00;2000;118279;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS1;СРБИЈА – СЕВЕР;2;Страни;2;индекси (2010 = 100);00;2000;23.8;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS11;Београдски регион;0;Укупно;1;број;00;2000;795817;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS11;Београдски регион;0;Укупно;2;индекси (2010 = 100);00;2000;128.7;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS11;Београдски регион;1;Домаћи;1;број;00;2000;707340;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS11;Београдски регион;1;Домаћи;2;индекси (2010 = 100);00;2000;317.1;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS11;Београдски регион;2;Страни;1;број;00;2000;88477;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS11;Београдски регион;2;Страни;2;индекси (2010 = 100);00;2000;22.4;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS110;Београдска област;0;Укупно;1;број;00;2000;795817;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS110;Београдска област;0;Укупно;2;индекси (2010 = 100);00;2000;128.7;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS110;Београдска област;1;Домаћи;1;број;00;2000;707340;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS110;Београдска област;1;Домаћи;2;индекси (2010 = 100);00;2000;317.1;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS110;Београдска област;2;Страни;1;број;00;2000;88477;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS110;Београдска област;2;Страни;2;индекси (2010 = 100);00;2000;22.4;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS12;Регион Војводине;0;Укупно;1;број;00;2000;281176;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS12;Регион Војводине;0;Укупно;2;индекси (2010 = 100);00;2000;99.8;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS12;Регион Војводине;1;Домаћи;1;број;00;2000;251374;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS12;Регион Војводине;1;Домаћи;2;индекси (2010 = 100);00;2000;140.1;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS12;Регион Војводине;2;Страни;1;број;00;2000;29802;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS12;Регион Војводине;2;Страни;2;индекси (2010 = 100);00;2000;29.1;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS121;Западнобачка област;0;Укупно;1;број;00;2000;17713;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS121;Западнобачка област;0;Укупно;2;индекси (2010 = 100);00;2000;99.6;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS121;Западнобачка област;1;Домаћи;1;број;00;2000;15788;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS121;Западнобачка област;1;Домаћи;2;индекси (2010 = 100);00;2000;121.5;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS121;Западнобачка област;2;Страни;1;број;00;2000;1925;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS121;Западнобачка област;2;Страни;2;индекси (2010 = 100);00;2000;40.1;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS122;Јужнобанатска област;0;Укупно;1;број;00;2000;25941;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS122;Јужнобанатска област;0;Укупно;2;индекси (2010 = 100);00;2000;111.8;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS122;Јужнобанатска област;1;Домаћи;1;број;00;2000;23952;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS122;Јужнобанатска област;1;Домаћи;2;индекси (2010 = 100);00;2000;141.9;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS122;Јужнобанатска област;2;Страни;1;број;00;2000;1989;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS122;Јужнобанатска област;2;Страни;2;индекси (2010 = 100);00;2000;31.5;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS123;Јужнобачка област;0;Укупно;1;број;00;2000;113164;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS123;Јужнобачка област;0;Укупно;2;индекси (2010 = 100);00;2000;106.7;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS123;Јужнобачка област;1;Домаћи;1;број;00;2000;97294;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS123;Јужнобачка област;1;Домаћи;2;индекси (2010 = 100);00;2000;190.4;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS123;Јужнобачка област;2;Страни;1;број;00;2000;15870;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS123;Јужнобачка област;2;Страни;2;индекси (2010 = 100);00;2000;28.9;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS124;Севернобанатска област;0;Укупно;1;број;00;2000;26903;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS124;Севернобанатска област;0;Укупно;2;индекси (2010 = 100);00;2000;106.4;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS124;Севернобанатска област;1;Домаћи;1;број;00;2000;25519;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS124;Севернобанатска област;1;Домаћи;2;индекси (2010 = 100);00;2000;134.8;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS124;Севернобанатска област;2;Страни;1;број;00;2000;1384;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS124;Севернобанатска област;2;Страни;2;индекси (2010 = 100);00;2000;21.8;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS125;Севернобачка област;0;Укупно;1;број;00;2000;34257;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
