idindikator;IDTer;nTer;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
270105IND03;RS;РЕПУБЛИКА СРБИЈА;00;2010;27.6;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS;РЕПУБЛИКА СРБИЈА;00;2011;31;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS;РЕПУБЛИКА СРБИЈА;00;2012;38;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS;РЕПУБЛИКА СРБИЈА;00;2013;43.4;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS;РЕПУБЛИКА СРБИЈА;00;2014;55.1;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS;РЕПУБЛИКА СРБИЈА;00;2015;56;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS;РЕПУБЛИКА СРБИЈА;00;2022;83.2;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS;РЕПУБЛИКА СРБИЈА;00;2023;85.6;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS;РЕПУБЛИКА СРБИЈА;00;2016;57.8;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS;РЕПУБЛИКА СРБИЈА;00;2017;61.9;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS;РЕПУБЛИКА СРБИЈА;00;2018;72.5;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS;РЕПУБЛИКА СРБИЈА;00;2019;79.6;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS;РЕПУБЛИКА СРБИЈА;00;2020;80.8;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS;РЕПУБЛИКА СРБИЈА;00;2021;81.4;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS11;Београдски регион;00;2010;41.6;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS11;Београдски регион;00;2011;43.4;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS11;Београдски регион;00;2012;50.4;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS11;Београдски регион;00;2013;52.8;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS11;Београдски регион;00;2014;65.2;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS11;Београдски регион;00;2015;65.8;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS11;Београдски регион;00;2022;93;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS11;Београдски регион;00;2023;93.1;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS11;Београдски регион;00;2016;68.5;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS11;Београдски регион;00;2017;72.7;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS11;Београдски регион;00;2018;82.1;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS11;Београдски регион;00;2019;89;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS11;Београдски регион;00;2020;93.9;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
