idindikator,IDTer,nTer,mes,god,vrednost,idJedinicaMere,nJedinicaMere,nIzvorI,Indikator,IDStatusPodatka,nStatusPodatka
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2010,67.5,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2011,67.6,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2012,73.8,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2013,73.8,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2014,74,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2015,75.2,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2022,84.9,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2023,85.1,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2016,80.8,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2017,80.4,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2018,82.6,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2019,83.6,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2020,84.4,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2021,84.5,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2010,80.6,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2011,76.8,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2012,85.9,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2013,83.7,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2014,81.3,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
