idindikator,IDAktStanovnistva,nAktStanovnistva,mes,god,IDNivoObraz,nNivoObraz,IDTer,nTer,vrednost,idJedinicaMere,nJedinicaMere,nIzvorI,Indikator,IDStatusPodatka,nStatusPodatka
240002090103IND01,0,Укупно,00,2014,1,Укупно,RS,РЕПУБЛИКА СРБИЈА,6099.2,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,2,Без образовања и ниже образовање,RS,РЕПУБЛИКА СРБИЈА,1917.9,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,3,Средње,RS,РЕПУБЛИКА СРБИЈА,3141.7,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,4,Више и високо,RS,РЕПУБЛИКА СРБИЈА,1039.6,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,1,Укупно,RS1,СРБИЈА – СЕВЕР,3066.9,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,2,Без образовања и ниже образовање,RS1,СРБИЈА – СЕВЕР,780.7,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,3,Средње,RS1,СРБИЈА – СЕВЕР,1619.2,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,4,Више и високо,RS1,СРБИЈА – СЕВЕР,667,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,1,Укупно,RS11,Београдски регион,1430.9,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,2,Без образовања и ниже образовање,RS11,Београдски регион,261.1,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,3,Средње,RS11,Београдски регион,757.7,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,4,Више и високо,RS11,Београдски регион,412.1,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,1,Укупно,RS12,Регион Војводине,1636,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,2,Без образовања и ниже образовање,RS12,Регион Војводине,519.6,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,3,Средње,RS12,Регион Војводине,861.5,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,4,Више и високо,RS12,Регион Војводине,254.9,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,1,Укупно,RS2,СРБИЈА – ЈУГ,3032.2,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,2,Без образовања и ниже образовање,RS2,СРБИЈА – ЈУГ,1137.2,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,3,Средње,RS2,СРБИЈА – ЈУГ,1522.5,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,4,Више и високо,RS2,СРБИЈА – ЈУГ,372.6,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,1,Укупно,RS21,Регион Шумадије и Западне Србије,1709.2,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,2,Без образовања и ниже образовање,RS21,Регион Шумадије и Западне Србије,642.3,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,3,Средње,RS21,Регион Шумадије и Западне Србије,858.2,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,4,Више и високо,RS21,Регион Шумадије и Западне Србије,208.7,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,1,Укупно,RS22,Регион Јужне и Источне Србије,1323,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,2,Без образовања и ниже образовање,RS22,Регион Јужне и Источне Србије,494.9,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,3,Средње,RS22,Регион Јужне и Источне Србије,664.3,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,4,Више и високо,RS22,Регион Јужне и Источне Србије,163.8,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,0,Укупно,00,2014,1,Укупно,RS23,Регион Косовo и Метохијa,,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,O,Не располаже се податком
240002090103IND01,0,Укупно,00,2014,2,Без образовања и ниже образовање,RS23,Регион Косовo и Метохијa,,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,O,Не располаже се податком
240002090103IND01,0,Укупно,00,2014,3,Средње,RS23,Регион Косовo и Метохијa,,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,O,Не располаже се податком
240002090103IND01,0,Укупно,00,2014,4,Више и високо,RS23,Регион Косовo и Метохијa,,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,O,Не располаже се податком
