idindikator;IDAktStanovnistva;nAktStanovnistva;mes;god;IDPol;nPol;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
240002090102IND01;0;Укупно;00;2014;0;Укупно;RS;РЕПУБЛИКА СРБИЈА;6099.2;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;1;Мушко;RS;РЕПУБЛИКА СРБИЈА;2941.1;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;2;Женско;RS;РЕПУБЛИКА СРБИЈА;3158;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;0;Укупно;RS1;СРБИЈА – СЕВЕР;3066.9;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;1;Мушко;RS1;СРБИЈА – СЕВЕР;1455.7;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;2;Женско;RS1;СРБИЈА – СЕВЕР;1611.3;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;0;Укупно;RS11;Београдски регион;1430.9;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;1;Мушко;RS11;Београдски регион;666.7;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;2;Женско;RS11;Београдски регион;764.2;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;0;Укупно;RS12;Регион Војводине;1636;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;1;Мушко;RS12;Регион Војводине;789;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;2;Женско;RS12;Регион Војводине;847.1;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;0;Укупно;RS2;СРБИЈА – ЈУГ;3032.2;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;1;Мушко;RS2;СРБИЈА – ЈУГ;1485.5;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;2;Женско;RS2;СРБИЈА – ЈУГ;1546.8;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;0;Укупно;RS21;Регион Шумадије и Западне Србије;1709.2;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;1;Мушко;RS21;Регион Шумадије и Западне Србије;835.8;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;2;Женско;RS21;Регион Шумадије и Западне Србије;873.5;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;0;Укупно;RS22;Регион Јужне и Источне Србије;1323;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;1;Мушко;RS22;Регион Јужне и Источне Србије;649.7;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;2;Женско;RS22;Регион Јужне и Источне Србије;673.3;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;0;Укупно;00;2014;0;Укупно;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;O;Не располаже се податком
240002090102IND01;0;Укупно;00;2014;1;Мушко;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;O;Не располаже се податком
240002090102IND01;0;Укупно;00;2014;2;Женско;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;O;Не располаже се податком
240002090102IND01;1;Активно становништво;00;2014;0;Укупно;RS;РЕПУБЛИКА СРБИЈА;3167.6;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;1;Мушко;RS;РЕПУБЛИКА СРБИЈА;1784;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;2;Женско;RS;РЕПУБЛИКА СРБИЈА;1383.6;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;0;Укупно;RS1;СРБИЈА – СЕВЕР;1589.1;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;1;Мушко;RS1;СРБИЈА – СЕВЕР;872.3;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;2;Женско;RS1;СРБИЈА – СЕВЕР;716.8;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;0;Укупно;RS11;Београдски регион;742;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;1;Мушко;RS11;Београдски регион;390.2;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;2;Женско;RS11;Београдски регион;351.7;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;0;Укупно;RS12;Регион Војводине;847.1;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;1;Мушко;RS12;Регион Војводине;482.1;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;2;Женско;RS12;Регион Војводине;365;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;0;Укупно;RS2;СРБИЈА – ЈУГ;1578.5;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;1;Мушко;RS2;СРБИЈА – ЈУГ;911.7;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;2;Женско;RS2;СРБИЈА – ЈУГ;666.9;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;0;Укупно;RS21;Регион Шумадије и Западне Србије;924.8;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;1;Мушко;RS21;Регион Шумадије и Западне Србије;530.5;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;2;Женско;RS21;Регион Шумадије и Западне Србије;394.3;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;0;Укупно;RS22;Регион Јужне и Источне Србије;653.7;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;1;Мушко;RS22;Регион Јужне и Источне Србије;381.2;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;2;Женско;RS22;Регион Јужне и Источне Србије;272.5;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;1;Активно становништво;00;2014;0;Укупно;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;O;Не располаже се податком
240002090102IND01;1;Активно становништво;00;2014;1;Мушко;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;O;Не располаже се податком
240002090102IND01;1;Активно становништво;00;2014;2;Женско;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;O;Не располаже се податком
240002090102IND01;2;Запослена лица;00;2014;0;Укупно;RS;РЕПУБЛИКА СРБИЈА;2559.4;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;1;Мушко;RS;РЕПУБЛИКА СРБИЈА;1457;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;2;Женско;RS;РЕПУБЛИКА СРБИЈА;1102.5;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;0;Укупно;RS1;СРБИЈА – СЕВЕР;1292.9;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;1;Мушко;RS1;СРБИЈА – СЕВЕР;707.5;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;2;Женско;RS1;СРБИЈА – СЕВЕР;585.4;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;0;Укупно;RS11;Београдски регион;614.3;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;1;Мушко;RS11;Београдски регион;323.4;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;2;Женско;RS11;Београдски регион;290.9;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;0;Укупно;RS12;Регион Војводине;678.6;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;1;Мушко;RS12;Регион Војводине;384.1;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;2;Женско;RS12;Регион Војводине;294.5;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;0;Укупно;RS2;СРБИЈА – ЈУГ;1266.5;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;1;Мушко;RS2;СРБИЈА – ЈУГ;749.5;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;2;Женско;RS2;СРБИЈА – ЈУГ;517;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;0;Укупно;RS21;Регион Шумадије и Западне Србије;758;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;1;Мушко;RS21;Регион Шумадије и Западне Србије;445.2;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;2;Женско;RS21;Регион Шумадије и Западне Србије;312.8;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;0;Укупно;RS22;Регион Јужне и Источне Србије;508.5;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;1;Мушко;RS22;Регион Јужне и Источне Србије;304.3;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;2;Женско;RS22;Регион Јужне и Источне Србије;204.2;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
240002090102IND01;2;Запослена лица;00;2014;0;Укупно;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;O;Не располаже се податком
240002090102IND01;2;Запослена лица;00;2014;1;Мушко;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;O;Не располаже се податком
240002090102IND01;2;Запослена лица;00;2014;2;Женско;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;O;Не располаже се податком
240002090102IND01;3;Незапослена лица;00;2014;0;Укупно;RS;РЕПУБЛИКА СРБИЈА;608.2;THS;хиљада;РЗС;Укупно становништво према радној активности, полу и региону;A;Коначан податак
