idindikator;IDAktStanovnistva;nAktStanovnistva;mes;god;IDStarGrupa;nStarGrupa;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
240002090104IND01;0;Укупно;00;2014;0;Укупно;RS;РЕПУБЛИКА СРБИЈА;6099.2;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;15-24;15–24;RS;РЕПУБЛИКА СРБИЈА;804.4;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;15-64;15–64 годинe;RS;РЕПУБЛИКА СРБИЈА;4823.4;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;25-34;25–34;RS;РЕПУБЛИКА СРБИЈА;958.5;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;35-44;35–44;RS;РЕПУБЛИКА СРБИЈА;973.3;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;45-54;45–54;RS;РЕПУБЛИКА СРБИЈА;976.7;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;55-64;55–64;RS;РЕПУБЛИКА СРБИЈА;1110.5;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;65;65 и више година;RS;РЕПУБЛИКА СРБИЈА;1275.8;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;0;Укупно;RS1;СРБИЈА – СЕВЕР;3066.9;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;15-24;15–24;RS1;СРБИЈА – СЕВЕР;395.2;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;15-64;15–64 годинe;RS1;СРБИЈА – СЕВЕР;2458.9;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;25-34;25–34;RS1;СРБИЈА – СЕВЕР;519.2;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;35-44;35–44;RS1;СРБИЈА – СЕВЕР;505.6;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;45-54;45–54;RS1;СРБИЈА – СЕВЕР;491.1;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;55-64;55–64;RS1;СРБИЈА – СЕВЕР;547.8;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;65;65 и више година;RS1;СРБИЈА – СЕВЕР;608;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;0;Укупно;RS11;Београдски регион;1430.9;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
